"ObjectClass","Name","whenCreated","whenChanged","DistinguishedName"
"attributeSchema","ms-WMI-intDefault","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intDefault,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","From-Entry","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=From-Entry,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intFlags1","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intFlags1,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","X509-Cert","1/15/2016 11:23:08 AM","1/15/2016 11:23:08 AM","CN=X509-Cert,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","From-Server","1/15/2016 11:22:42 AM","1/15/2016 11:22:42 AM","CN=From-Server,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intFlags2","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intFlags2,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-SPP-Online-License","1/15/2016 11:23:11 AM","1/15/2016 11:23:11 AM","CN=ms-SPP-Online-License,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intFlags3","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intFlags3,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-SPP-Phone-License","1/15/2016 11:23:11 AM","1/15/2016 11:23:11 AM","CN=ms-SPP-Phone-License,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intFlags4","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intFlags4,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-Alias","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-Alias,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intMax","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intMax,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-DS-Az-Major-Version","1/15/2016 11:22:45 AM","1/15/2016 11:22:45 AM","CN=ms-DS-Az-Major-Version,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","MS-SQL-AllowAnonymousSubscription","1/15/2016 11:22:54 AM","1/15/2016 11:22:54 AM","CN=MS-SQL-AllowAnonymousSubscription,CN=Schema,CN=Configuration,DC=LAB,DC=local"
"attributeSchema","ms-WMI-intMin","1/15/2016 11:22:55 AM","1/15/2016 11:22:55 AM","CN=ms-WMI-intMin,CN=Schema,CN=Configuration,DC=LAB,DC=local"
