"DisplayName","GUID","whenCreated","whenChanged","DistinguishedName","FilePath"
"Default Domain Policy","{31B2F340-016D-11D2-945F-00C04FB984F9}","8/10/2020 8:36:40 PM","8/10/2020 8:44:37 PM","CN={31B2F340-016D-11D2-945F-00C04FB984F9},CN=Policies,CN=System,DC=LAB,DC=local","\\LAB.local\sysvol\LAB.local\Policies\{31B2F340-016D-11D2-945F-00C04FB984F9}"
"Default Domain Controllers Policy","{6AC1786C-016F-11D2-945F-00C04fB984F9}","8/10/2020 8:36:40 PM","8/10/2020 8:36:40 PM","CN={6AC1786C-016F-11D2-945F-00C04fB984F9},CN=Policies,CN=System,DC=LAB,DC=local","\\LAB.local\sysvol\LAB.local\Policies\{6AC1786C-016F-11D2-945F-00C04fB984F9}"
"test GPO","{21D1FFB3-2305-4FC7-BE15-4C9D4D22565D}","8/27/2020 3:27:54 PM","8/27/2020 3:40:17 PM","CN={21D1FFB3-2305-4FC7-BE15-4C9D4D22565D},CN=Policies,CN=System,DC=LAB,DC=local","\\LAB.local\SysVol\LAB.local\Policies\{21D1FFB3-2305-4FC7-BE15-4C9D4D22565D}"
